"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GhanaBlackstars: ⚡️ | Terrific Atmosphere 👏🏽 

#BlackStars  | #FIFAWorldCup| #TeamGhana | #Qatar2022 https://t.co/CzJylF9fE2",FALSE,0,NA,2022-11-25 08:31:57,FALSE,NA,"1596059100290260992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edmund_fredrick",216,TRUE,FALSE,NA,NA
"RT @felaskechayi: Erfan Nazari, a bodybuilding champion, was killed by Iran's regime on Sept 29 amid Iran protests. He was shot in the face…",FALSE,0,NA,2022-11-25 08:31:56,FALSE,NA,"1596059097572450306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azarember",65,TRUE,FALSE,NA,NA
"RT @jeusiz: Mohammad Abbaspoor also loved football. He was murdered in the crime of flight PS752 on January 8, 2020. He was an Arsenal fan.…",FALSE,0,NA,2022-11-25 08:31:56,FALSE,NA,"1596059095316004864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_0512clover",4,TRUE,FALSE,NA,NA
"RT @beINSPORTS_EN: 🏴󠁧󠁢󠁷󠁬󠁳󠁿 vs 🇮🇷
🇶🇦 vs 🇸🇳
🇳🇱 vs 🇪🇨
🏴󠁧󠁢󠁥󠁮󠁧󠁿 vs 🇺🇸

A big day 6 ahead at the @FIFAWorldCup subscribe to beIN SPORTS to follow…",FALSE,0,NA,2022-11-25 08:31:55,FALSE,NA,"1596059093906907136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bsg0604",5,TRUE,FALSE,NA,NA
"RT @aneesafalasteen: #FreePalestine #FIFAWorldCup #FIFAWorldCup2022 #Qatar2022 #QatarWorldCup2022

To all football players &amp; fans:

#RaiseP…",FALSE,0,NA,2022-11-25 08:31:55,FALSE,NA,"1596059090010386432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShizukaTajima",17,TRUE,FALSE,NA,NA
"RT @cheragh_aseman: While Islamic Republic has arrested #VoriaGhafouri , former national player of Iran for being the voice of Iranian peop…",FALSE,0,NA,2022-11-25 08:31:54,FALSE,NA,"1596059089448370176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Nimazzz",1577,TRUE,FALSE,NA,NA
"RT @hmins93: Erfan was a football enthusiast and also a huge fan of @realmadridfarsi
But he was killed by the police forces on November 4th…",FALSE,0,NA,2022-11-25 08:31:54,FALSE,NA,"1596059089049624577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rey_the_villain",15,TRUE,FALSE,NA,NA
"RT @hmins93: Khodanur Lejjei,Also loved Football but he was shot with BULLETS during IRAN Protests 2022 by security forces.Police denied hi…",FALSE,0,NA,2022-11-25 08:31:54,FALSE,NA,"1596059088651456513",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fildadgbg",14,TRUE,FALSE,NA,NA
"RT @felaskechayi: Navid Afkari, a champion wrestler, was executed by Iran's regime on 12 Sept 2020. Navid was tortured into making confessi…",FALSE,0,NA,2022-11-25 08:31:54,FALSE,NA,"1596059088441733120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ardavan_nobari",77,TRUE,FALSE,NA,NA
"RT @NR2OH: On November 16, 2019, Mohsen Mohammadpour injured by the Islamic Republic regime's security forces during Iran's November 2019 p…",FALSE,0,NA,2022-11-25 08:31:54,FALSE,NA,"1596059088211050496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","8november1997",5,TRUE,FALSE,NA,NA
"RT @hanibooklover: As we speak about World Cup ,the IRGC oppression forces are killing Iranian people including children and woman in Kurdi…",FALSE,0,NA,2022-11-25 08:31:53,FALSE,NA,"1596059082829725697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_0512clover",2,TRUE,FALSE,NA,NA
"@FIFAWorldCup Amin Bazergar was a 28Y.O wrestler
 He was under pressure from the Iranian regime for supporting Navi… https://t.co/OGd0twnDUg",FALSE,0,"FIFAWorldCup",2022-11-25 08:31:53,TRUE,"1596051060459700226","1596059081885851649","138372303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akimyfavboy",0,FALSE,FALSE,NA,NA
"RT @FIFAWorldCup: This one goes out to all the bosses out there ❤️

#FIFAWorldCup | #Qatar2022 https://t.co/1rYBFtdGhr",FALSE,0,NA,2022-11-25 08:31:52,FALSE,NA,"1596059079751131136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zuiun283",22436,TRUE,FALSE,NA,NA
"RT @hmins93: Khodanur Lejjei,Also loved Football but he was shot with BULLETS during IRAN Protests 2022 by security forces.Police denied hi…",FALSE,0,NA,2022-11-25 08:31:51,FALSE,NA,"1596059076051476480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gloomhand",14,TRUE,FALSE,NA,NA
"RT @felaskechayi: Milad Maroufi, a horse rider, was shot dead by the Basij militia on Nov 17 in the Kurdish town of Bukan. He was 23 and wa…",FALSE,0,NA,2022-11-25 08:31:51,FALSE,NA,"1596059074306592768",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fyn9208",25,TRUE,FALSE,NA,NA
"@FIFAWorldCup Khodanur Lejjei,Also loved Football but he was shot with BULLETS during IRAN Protests 2022 by securit… https://t.co/AYoQIb2ES9",FALSE,0,"FIFAWorldCup",2022-11-25 08:31:51,TRUE,"1596051060459700226","1596059073975586816","138372303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_SavageCat_",0,FALSE,FALSE,NA,NA
"RT @Seankleann: Brazil brought in Rodrygo, Martinelli and Gabriel Jesus, all these players are regular starters for their clubs yet they co…",FALSE,0,NA,2022-11-25 08:31:51,FALSE,NA,"1596059073069604864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nel_syn",38,TRUE,FALSE,NA,NA
"RT @felaskechayi: Ali Mozaffari, a 17-year-old professional volleyball player, was shot dead on September 21 by the Iranian regime's forces…",FALSE,0,NA,2022-11-25 08:31:51,FALSE,NA,"1596059073040224256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","meenaM85",13,TRUE,FALSE,NA,NA
